asset,category,observations,period_return_pct,listing_change_pct,listing_first,listing_last,price_first,price_last,realized_vol_daily_pct,observed_range_pct,price_transitions,listing_transitions,listing_activity_pct,price_activity_pct,sales_transitions,sales_24h_first,sales_24h_last,sales_24h_max,spearman_qty_minprice_6h,spearman_qty_medprice_6h,median_price_pct_change
Stockholm 2021 Challengers Sticker Capsule,capsules/stickers,2015,-3.4285714285714364,6.2009978617248755,2806,2980,1.75,1.69,4.047067438122998,8.588957055214733,10,24,1.1922503725782414,0.49677098857426727,7,23,1,42,-0.5072899247727286,-0.44224954045077003,-13.223140495867764
Stockholm 2021 Legends Sticker Capsule,capsules/stickers,2015,10.344827586206895,0.9069568928723858,9372,9457,0.87,0.96,8.61648469244252,27.999999999999996,12,29,1.4406358668653751,0.5961251862891207,6,4,0,90,-0.3083710874581917,-0.46434717379323004,-1.3972055888223434
USP-S | Printstream (Field-Tested),weapons,2015,-1.0597053502196863,-11.619718309859154,284,251,38.69,38.28,18.087521544480865,19.796806966618284,116,186,9.23994038748137,5.762543467461501,7,14,19,22,-0.31145502757519616,-0.5325082739345022,-0.28390478270365266
Winter Offensive Weapon Case,cases,2015,-4.5738045738045745,1.4557670772676372,893,906,9.62,9.18,5.590622966442112,10.538373424971363,14,12,0.5961251862891207,0.6954793840039741,6,2,2,3,-0.08424492247642407,0.026164770725635257,-0.4647560030983772
eSports 2013 Case,cases,2015,-0.6130790190735591,-2.0491803278688523,244,239,44.04,43.77,3.7893526448372454,9.353376282510146,10,3,0.14903129657228018,0.49677098857426727,5,0,1,2,-0.43968497309266685,-0.705850971632678,-0.3049555273189442
★ Bayonet | Forest DDPAT (Field-Tested),knives,2015,8.248936992655608,-11.11111111111111,9,8,129.35,140.02,5.934518356655493,19.875564646722925,12,9,0.44709388971684055,0.5961251862891207,5,0,1,2,-0.3881446135208865,-0.524876246092708,5.7445621862799845
★ Bowie Knife | Tiger Tooth (Factory New),knives,2015,-2.6711049768612494,-7.228915662650603,83,77,123.17,119.88,11.47871324555118,22.453428458184696,27,33,1.639344262295082,1.3412816691505216,6,2,3,4,-0.4470210584677683,-0.6959424962951237,0.0
★ Butterfly Knife | Slaughter (Minimal Wear),knives,2015,3.270666187682103,-12.5,16,14,1252.65,1293.62,3.7769134114523526,9.590247596470432,25,18,0.8941877794336811,1.241927471435668,4,0,3,3,-0.3970842063507288,-0.796304574534734,-0.9686671014061472
★ Butterfly Knife | Tiger Tooth (Factory New),knives,2015,2.669225554841481,-17.857142857142858,28,23,1135.91,1166.23,9.5358463605891,11.609501205833933,58,76,3.775459513164431,2.8812717337307503,6,3,4,5,-0.5805566878934958,-0.7278980687769298,0.5914285938099716
★ Driver Gloves | Imperial Plaid (Field-Tested),gloves,2015,5.373273113708832,-5.769230769230769,156,147,150.56,158.65,13.287682450800641,21.633570625702514,76,113,5.61351217088922,3.775459513164431,7,6,6,14,-0.5203438980315256,-0.5492199593000158,0.5416862929816191
★ Driver Gloves | Racing Green (Field-Tested),gloves,2015,5.203761755485914,-7.194244604316546,139,129,31.9,33.56,26.36840690599287,25.901875901875904,55,68,3.3780427223050173,2.73224043715847,5,7,4,7,-0.3094170041563709,-0.5139281111180887,-0.5383235067931322
★ Driver Gloves | Snow Leopard (Field-Tested),gloves,2015,0.6359065365276528,-12.76595744680851,94,82,270.48,272.2,8.427394771315697,16.698568256641888,71,117,5.812220566318927,3.5270740188772978,6,5,10,11,-0.5738261793647969,-0.31599926209433804,-0.20316718154240576
★ Hand Wraps | Duct Tape (Battle-Scarred),gloves,2015,-11.207207207207205,16.666666666666668,6,7,55.5,49.28,13.126227760995121,17.162761241291964,15,7,0.34773969200198707,0.7451564828614009,3,1,0,1,-0.7399948800662096,-0.6703488187726261,-0.6235011990407683
★ Hand Wraps | Duct Tape (Field-Tested),gloves,2015,6.151035322777099,-12.5,96,84,49.26,52.29,19.658181104009184,28.147788040836165,53,71,3.5270740188772978,2.6328862394436165,6,8,5,9,-0.49441182071991985,-0.5108599469838411,-0.17179178835251918
★ Hydra Gloves | Mangrove (Field-Tested),gloves,2015,1.4697236919459122,1.5151515151515151,66,67,34.02,34.52,14.961554630290072,23.2301672002846,34,34,1.6890213611525087,1.6890213611525087,5,4,1,6,-0.656940212975776,-0.6033076130424867,-0.2131060202450674
★ Hydra Gloves | Mangrove (Well-Worn),gloves,2015,-0.8494434680726415,0.0,4,4,34.14,33.85,7.539511981178373,20.18685352018687,8,4,0.19870839542970692,0.39741679085941384,2,0,0,1,-0.23240331401933234,-0.19043126590158788,-1.3847407005158785
★ Karambit | Crimson Web (Factory New),knives,2015,-0.8252897318387631,0.0,1,1,6474.09,6420.66,0.1799699523906667,0.8321574417583285,5,0,0.0,0.24838549428713363,0,0,0,0,,,-0.8252897318387649
★ Kukri Knife | Fade (Factory New),knives,2015,-1.720291216533587,5.0,80,84,170.32,167.39,9.967677980946515,22.731362912715447,43,66,3.278688524590164,2.136115250869349,4,4,6,6,-0.5958198380559246,-0.6674665969797778,-1.6961894469764665
★ Kukri Knife | Forest DDPAT (Field-Tested),knives,2015,7.981927710843384,-33.333333333333336,12,8,46.48,50.19,14.627244658644498,23.38454035601074,34,30,1.4903129657228018,1.6890213611525087,5,1,4,4,-0.667725447548845,-0.7836760862419848,0.0
★ Moto Gloves | Spearmint (Minimal Wear),gloves,2015,-0.8254606744755866,0.0,2,2,3530.15,3501.01,0.17996087248405765,0.8323312415560045,5,0,0.0,0.24838549428713363,0,0,0,0,,,-0.8253405578415934
★ Moto Gloves | Turtle (Field-Tested),gloves,2015,-5.506161285290911,0.0,122,122,64.11,60.58,11.143443365123892,21.489482660602604,31,53,2.6328862394436165,1.5399900645802285,7,4,8,8,-0.42679626068976084,-0.7663670650110768,-1.1711199545196147
★ Moto Gloves | Turtle (Minimal Wear),gloves,2015,-2.8155339805825186,0.0,37,37,123.6,120.12,7.178085726687695,16.74040632054175,26,18,0.8941877794336811,1.291604570293095,6,2,1,3,-0.23270540854639568,-0.6875887603455408,-2.7016546018614314
★ Navaja Knife | Scorched (Field-Tested),knives,2015,-2.49403024674979,-10.0,10,9,37.69,36.75,13.549155371966046,23.639455782312915,15,7,0.34773969200198707,0.7451564828614009,3,0,1,2,-0.5945796246501336,-0.7363883759470118,-0.7875691783737707
★ Nomad Knife | Slaughter (Minimal Wear),knives,2015,-5.742371675117875,-6.666666666666667,30,28,224.82,211.91,3.9608128972472243,10.933887027511688,22,18,0.8941877794336811,1.092896174863388,4,1,1,3,-0.4254770872346884,-0.6003238295707319,-3.7633827187195834
★ Paracord Knife,knives,2015,3.638840241292085,28.571428571428573,35,45,51.39,53.26,5.6235871739390895,8.079418124631413,51,61,3.0303030303030303,2.5335320417287632,6,5,5,6,-0.4173461950968819,-0.6702843102101191,-2.926595234287539
