asset,category,observations,coverage_pct,window_gaps,min_price_first,min_price_last,min_price_low,min_price_high,min_price_abs_change,min_price_pct_change,min_price_transitions,min_price_pct_adjacent_changed,min_price_distinct_states,median_price_first,median_price_last,median_price_pct_change,median_price_transitions,quantity_first,quantity_last,quantity_low,quantity_high,quantity_abs_change,quantity_pct_change,quantity_transitions,quantity_pct_adjacent_changed,quantity_distinct_states,sales_24h_first,sales_24h_last,sales_24h_min,sales_24h_max,sales_24h_abs_change,sales_24h_transitions,sales_24h_distinct_states,history_state_transitions,history_state_distinct,distinct_market_states,realized_vol_daily_pct,observed_range_pct,position_in_range_pct,contraction_frequency_pct,expansion_frequency_pct,listing_volatility_5m,price_return_1h,price_return_6h,price_return_24h,price_return_period,listing_change_1h,listing_change_6h,listing_change_24h,listing_change_period,freshness_median_s,freshness_p95_s,freshness_max_s,freshness_over_10m
M4A1-S | Decimator (Battle-Scarred),weapons,2015,99.9504,1,10.31,11.09,8.16,11.36,0.7799999999999994,7.5654704170708,14,0.6954793840039741,13,12.64,12.57,-0.5537974683544326,13,77,74,74,77,-3,-3.896103896103896,7,0.34773969200198707,4,0,0,0,1,0,2,2,10,11,30,16.47568546696529,39.2156862745098,91.56250000000001,0.24838549428713363,0.09935419771485346,0.0007790100126558251,0.0,0.06429942418426093,0.06327900287631838,0.07565470417070808,0,-1,-1,-3,302.99,311.8159,904.672,14
M4A1-S | Decimator (Field-Tested),weapons,2015,99.9504,1,11.57,11.62,10.01,12.22,0.049999999999998934,0.43215211754536675,43,2.136115250869349,32,14.74,14.62,-0.8141112618724626,26,278,273,266,279,-5,-1.7985611510791366,67,3.3283656234475907,14,3,8,1,14,5,6,5,12,13,96,9.94634579294396,22.077922077922086,72.85067873303161,1.639344262295082,1.6890213611525087,0.001095847819364329,0.0,0.0,0.013077593722754965,0.004321521175453702,0,1,1,-5,302.99,311.8159,904.672,14
M4A1-S | Hot Rod (Factory New),weapons,2015,99.9504,1,1471.53,1469.53,1332.51,1524.2,-2.0,-0.13591296133955816,18,0.8941877794336811,18,2140.57,2129.32,-0.5255609487192663,22,28,27,27,29,-1,-3.5714285714285716,7,0.34773969200198707,3,0,1,0,1,1,3,2,10,11,45,5.554111792514026,14.385633128456828,71.4799937398925,0.19870839542970692,0.14903129657228018,0.0021189857178896465,0.0,0.0,-0.0007547734319752752,-0.001359129613395571,0,0,0,-1,302.99,311.8159,904.672,14
M4A4 | Neo-Noir (Field-Tested),weapons,2015,99.9504,1,31.78,31.5,29.82,32.62,-0.28000000000000114,-0.8810572687224705,29,1.4406358668653751,23,41.89,41.59,-0.7161613750298332,36,256,247,246,256,-9,-3.515625,42,2.0864381520119224,11,3,2,1,4,-1,6,4,12,13,79,4.349724291915864,9.389671361502337,60.00000000000005,1.291604570293095,0.7948335817188277,0.0005921516659099698,0.0,0.0,-0.0006345177664974777,-0.008810572687224738,0,-1,1,-9,302.99,311.8159,904.672,14
Operation Bravo Case,cases,2015,99.9504,1,57.68,51.37,51.37,57.68,-6.310000000000002,-10.939667128987521,15,0.7451564828614009,14,74.02,73.06,-1.296946771142926,17,328,339,328,339,11,3.3536585365853657,17,0.8445106805762543,11,0,1,0,2,1,3,3,12,13,47,2.7583849221706846,12.28343391084291,0.0,0.29806259314456035,0.546448087431694,0.0004964634871710913,0.0,-0.01872015281757411,-0.07324553490889418,-0.10939667128987518,0,2,4,11,302.99,311.8159,904.672,14
Operation Breakout Weapon Case,cases,2015,99.9504,1,7.6,7.46,6.45,7.64,-0.13999999999999968,-1.8421052631578907,108,5.365126676602086,44,10.01,9.84,-1.6983016983016976,10,36015,37141,35937,37142,1126,3.1264750798278493,253,12.568306010928962,147,45,111,44,274,66,7,8,12,13,255,14.230702186228484,18.449612403100765,84.87394957983194,6.954793840039741,5.61351217088922,0.0005372982364085983,0.0,-0.0013386880856760541,-0.004005340453938633,-0.018421052631578894,-1,9,1012,1126,302.99,311.8159,904.672,14
Operation Broken Fang Case,cases,2015,99.9504,1,5.4,5.64,4.88,5.69,0.23999999999999932,4.444444444444431,30,1.4903129657228018,21,9.12,9.15,0.32894736842106514,15,10907,10584,10584,10928,-323,-2.9614009351792427,80,3.974167908594138,65,74,49,10,183,-25,7,8,12,13,95,9.16343894973795,16.598360655737718,93.82716049382707,2.831594634873323,1.1425732737208147,0.0003536742196865743,0.0,0.0,0.0053475935828875,0.04444444444444429,-1,-11,-51,-323,302.99,311.8159,904.672,14
Operation Hydra Case,cases,2015,99.9504,1,31.06,29.18,28.04,31.19,-1.879999999999999,-6.052801030264002,16,0.7948335817188277,12,42.01,39.85,-5.141632944537007,22,355,395,353,395,40,11.267605633802816,26,1.291604570293095,16,1,2,0,2,1,5,3,12,13,48,4.108649993424114,11.233951497860208,36.19047619047618,0.44709388971684055,0.8445106805762543,0.0016870252693723055,0.0,0.0,-0.00068493150684934,-0.06052801030263999,0,0,6,40,302.99,311.8159,904.672,14
Operation Riptide Case,cases,2015,99.9504,1,8.92,7.49,7.49,8.92,-1.4299999999999997,-16.031390134529143,24,1.1922503725782414,21,13.31,13.12,-1.4274981217130074,13,4077,4163,4036,4168,86,2.109394162374295,38,1.8877297565822155,29,1,1,0,21,0,7,6,12,13,66,8.644497869245047,19.092122830440584,0.0,0.7948335817188277,1.092896174863388,0.0005624340868075537,-0.09650180940892628,-0.08323133414932682,-0.10084033613445376,-0.16031390134529144,0,-2,38,86,302.99,311.8159,904.672,14
P250 | Asiimov (Field-Tested),weapons,2015,99.9504,1,12.21,12.29,10.75,12.41,0.0799999999999983,0.6552006552006412,22,1.092896174863388,17,14.0,13.88,-0.8571428571428515,4,303,290,287,303,-13,-4.29042904290429,46,2.2851465474416295,15,8,6,2,9,-2,7,6,11,12,54,8.99820811606836,15.44186046511628,92.77108433734934,1.1425732737208147,1.1425732737208147,0.0008746864707759693,0.0,0.0,-0.0016246953696182898,0.006552006552006384,0,0,0,-13,302.99,311.8159,904.672,14
P250 | Sand Dune (Minimal Wear),weapons,2015,99.9504,1,0.04,0.05,0.04,0.05,0.010000000000000002,25.000000000000004,1,0.04967709885742673,2,0.21,0.15,-28.571428571428573,2,852,889,852,889,37,4.342723004694836,15,0.7451564828614009,6,0,1,0,1,1,3,2,7,8,23,8.440315812721048,25.000000000000004,100.0,0.29806259314456035,0.44709388971684055,0.0009185260990084932,0.0,0.0,0.0,0.25,0,0,0,37,302.99,311.8159,904.672,14
Paris 2023 Contenders Sticker Capsule,capsules/stickers,2015,99.9504,1,0.15,0.15,0.15,0.15,0.0,0.0,0,0.0,1,0.31,0.3,-3.225806451612906,1,17879,17786,17786,17879,-93,-0.5201633200962023,9,0.44709388971684055,10,0,17,0,30,17,6,6,7,8,12,0.0,0.0,,0.44709388971684055,0.0,5.070164213108868e-05,0.0,0.0,0.0,0.0,0,-26,-43,-93,302.99,311.8159,904.672,14
Recoil Case,cases,2015,99.9504,1,0.31,0.32,0.15,0.39,0.010000000000000009,3.225806451612906,66,3.278688524590164,12,0.72,0.71,-1.3888888888888902,1,49952,49813,49803,50103,-139,-0.27826713645099294,112,5.563835072031793,82,115,28,28,157,-87,7,8,10,11,138,63.910269602927585,160.00000000000003,70.83333333333333,3.874813710879285,1.6890213611525087,9.833701835735503e-05,0.0,0.06666666666666665,-0.08571428571428563,0.032258064516129004,-20,-34,-52,-139,302.99,311.8159,904.672,14
